ablation,sample_size,replicate,seed,full_tv_error,ablated_tv_error,full_better,invalid_category,full_invalid_mass,ablated_invalid_mass,full_invalid_top1,ablated_invalid_top1
A4_remove_hierarchical_pooling,1,78,11807,0.16531986532,0.82,True,,,,,
A2_remove_industry_prior,1,79,11808,0.130774410774,0.282323232323,True,,,,,
A4_remove_hierarchical_pooling,1,79,11808,0.130774410774,0.9,True,,,,,
A2_remove_industry_prior,1,80,11809,0.169326599327,0.306565656566,True,,,,,
A4_remove_hierarchical_pooling,1,80,11809,0.169326599327,0.82,True,,,,,
A2_remove_industry_prior,1,81,11810,0.032323232323,0.174545454545,True,,,,,
A4_remove_hierarchical_pooling,1,81,11810,0.032323232323,0.45,True,,,,,
A2_remove_industry_prior,1,82,11811,0.07303030303,0.211616161616,True,,,,,
A4_remove_hierarchical_pooling,1,82,11811,0.07303030303,0.45,True,,,,,
A2_remove_industry_prior,1,83,11812,0.088518518519,0.201515151515,True,,,,,
A4_remove_hierarchical_pooling,1,83,11812,0.088518518519,0.45,True,,,,,
A2_remove_industry_prior,1,84,11813,0.147508417508,0.302525252525,True,,,,,
A4_remove_hierarchical_pooling,1,84,11813,0.147508417508,0.83,True,,,,,
A2_remove_industry_prior,1,85,11814,0.076094276094,0.161111111111,True,,,,,
A4_remove_hierarchical_pooling,1,85,11814,0.076094276094,0.45,True,,,,,
A2_remove_industry_prior,1,86,11815,0.143434343434,0.295757575758,True,,,,,
A4_remove_hierarchical_pooling,1,86,11815,0.143434343434,0.82,True,,,,,
A2_remove_industry_prior,1,87,11816,0.076734006734,0.231818181818,True,,,,,
A4_remove_hierarchical_pooling,1,87,11816,0.076734006734,0.45,True,,,,,
A2_remove_industry_prior,1,88,11817,0.081784511785,0.225757575758,True,,,,,
A4_remove_hierarchical_pooling,1,88,11817,0.081784511785,0.45,True,,,,,
A2_remove_industry_prior,1,89,11818,0.127306397306,0.342929292929,True,,,,,
A4_remove_hierarchical_pooling,1,89,11818,0.127306397306,0.83,True,,,,,
A2_remove_industry_prior,1,90,11819,0.144074074074,0.272222222222,True,,,,,
A4_remove_hierarchical_pooling,1,90,11819,0.144074074074,0.82,True,,,,,
A2_remove_industry_prior,1,91,11820,0.160101010101,0.332828282828,True,,,,,
A4_remove_hierarchical_pooling,1,91,11820,0.160101010101,0.83,True,,,,,
A2_remove_industry_prior,1,92,11821,0.128922558923,0.184646464646,True,,,,,
A4_remove_hierarchical_pooling,1,92,11821,0.128922558923,0.45,True,,,,,
A2_remove_industry_prior,1,93,11822,0.090202020202,0.15101010101,True,,,,,
A4_remove_hierarchical_pooling,1,93,11822,0.090202020202,0.45,True,,,,,
A2_remove_industry_prior,1,94,11823,0.105521885522,0.241919191919,True,,,,,
A4_remove_hierarchical_pooling,1,94,11823,0.105521885522,0.45,True,,,,,
A2_remove_industry_prior,1,95,11824,0.194579124579,0.336161616162,True,,,,,
A4_remove_hierarchical_pooling,1,95,11824,0.194579124579,0.82,True,,,,,
A2_remove_industry_prior,1,96,11825,0.051548821549,0.174545454545,True,,,,,
A4_remove_hierarchical_pooling,1,96,11825,0.051548821549,0.45,True,,,,,
A2_remove_industry_prior,1,97,11826,0.20138047138,0.332828282828,True,,,,,
A4_remove_hierarchical_pooling,1,97,11826,0.20138047138,0.83,True,,,,,
A2_remove_industry_prior,1,98,11827,0.156026936027,0.342929292929,True,,,,,
A4_remove_hierarchical_pooling,1,98,11827,0.156026936027,0.9,True,,,,,
A2_remove_industry_prior,1,99,11828,0.083535353535,0.292424242424,True,,,,,
A4_remove_hierarchical_pooling,1,99,11828,0.083535353535,0.9,True,,,,,
A2_remove_industry_prior,1,100,11829,0.122356902357,0.31595959596,True,,,,,
A4_remove_hierarchical_pooling,1,100,11829,0.122356902357,0.9,True,,,,,
A2_remove_industry_prior,1,101,11830,0.071515151515,0.194747474747,True,,,,,
A4_remove_hierarchical_pooling,1,101,11830,0.071515151515,0.45,True,,,,,
A2_remove_industry_prior,1,102,11831,0.037205387205,0.332828282828,True,,,,,
A4_remove_hierarchical_pooling,1,102,11831,0.037205387205,0.83,True,,,,,
A2_remove_industry_prior,1,103,11832,0.091952861953,0.255353535354,True,,,,,
A4_remove_hierarchical_pooling,1,103,11832,0.091952861953,0.45,True,,,,,
A2_remove_industry_prior,1,104,11833,0.085151515152,0.184646464646,True,,,,,
A4_remove_hierarchical_pooling,1,104,11833,0.085151515152,0.45,True,,,,,
A2_remove_industry_prior,1,105,11834,0.077777777778,0.262121212121,True,,,,,
A4_remove_hierarchical_pooling,1,105,11834,0.077777777778,0.45,True,,,,,
A2_remove_industry_prior,1,106,11835,0.192255892256,0.245252525253,True,,,,,
A4_remove_hierarchical_pooling,1,106,11835,0.192255892256,0.9,True,,,,,
A2_remove_industry_prior,1,107,11836,0.065016835017,0.185353535354,True,,,,,
A4_remove_hierarchical_pooling,1,107,11836,0.065016835017,0.45,True,,,,,
A2_remove_industry_prior,1,108,11837,0.026127946128,0.201515151515,True,,,,,
A4_remove_hierarchical_pooling,1,108,11837,0.026127946128,0.45,True,,,,,
A2_remove_industry_prior,1,109,11838,0.150168350168,0.332828282828,True,,,,,
A4_remove_hierarchical_pooling,1,109,11838,0.150168350168,0.83,True,,,,,
A2_remove_industry_prior,1,110,11839,0.089865319865,0.144242424242,True,,,,,
A4_remove_hierarchical_pooling,1,110,11839,0.089865319865,0.45,True,,,,,
A2_remove_industry_prior,1,111,11840,0.030942760943,0.221717171717,True,,,,,
A4_remove_hierarchical_pooling,1,111,11840,0.030942760943,0.45,True,,,,,
A2_remove_industry_prior,1,112,11841,0.041919191919,0.214949494949,True,,,,,
A4_remove_hierarchical_pooling,1,112,11841,0.041919191919,0.45,True,,,,,
A2_remove_industry_prior,1,113,11842,0.149292929293,0.302525252525,True,,,,,
A4_remove_hierarchical_pooling,1,113,11842,0.149292929293,0.45,True,,,,,
A2_remove_industry_prior,1,114,11843,0.155218855219,0.275555555556,True,,,,,
A4_remove_hierarchical_pooling,1,114,11843,0.155218855219,0.82,True,,,,,
A2_remove_industry_prior,1,115,11844,0.05404040404,0.161111111111,True,,,,,
A4_remove_hierarchical_pooling,1,115,11844,0.05404040404,0.45,True,,,,,
A2_remove_industry_prior,1,116,11845,0.048282828283,0.144242424242,True,,,,,
A4_remove_hierarchical_pooling,1,116,11845,0.048282828283,0.45,True,,,,,
A2_remove_industry_prior,1,117,11846,0.04962962963,0.161111111111,True,,,,,
A4_remove_hierarchical_pooling,1,117,11846,0.04962962963,0.45,True,,,,,
A2_remove_industry_prior,1,118,11847,0.212457912458,0.342929292929,True,,,,,
A4_remove_hierarchical_pooling,1,118,11847,0.212457912458,0.9,True,,,,,
A2_remove_industry_prior,1,119,11848,0.054848484848,0.25202020202,True,,,,,
A4_remove_hierarchical_pooling,1,119,11848,0.054848484848,0.45,True,,,,,
A2_remove_industry_prior,1,120,11849,0.114814814815,0.302525252525,True,,,,,
A4_remove_hierarchical_pooling,1,120,11849,0.114814814815,0.82,True,,,,,
A2_remove_industry_prior,1,121,11850,0.034713804714,0.245252525253,True,,,,,
A4_remove_hierarchical_pooling,1,121,11850,0.034713804714,0.45,True,,,,,
A2_remove_industry_prior,1,122,11851,0.107912457912,0.262121212121,True,,,,,
A4_remove_hierarchical_pooling,1,122,11851,0.107912457912,0.83,True,,,,,
A2_remove_industry_prior,1,123,11852,0.067878787879,0.241919191919,True,,,,,
A4_remove_hierarchical_pooling,1,123,11852,0.067878787879,0.45,True,,,,,
A2_remove_industry_prior,1,124,11853,0.188720538721,0.231818181818,True,,,,,
A4_remove_hierarchical_pooling,1,124,11853,0.188720538721,0.45,True,,,,,
A2_remove_industry_prior,1,125,11854,0.03303030303,0.191414141414,True,,,,,
A4_remove_hierarchical_pooling,1,125,11854,0.03303030303,0.45,True,,,,,
A2_remove_industry_prior,1,126,11855,0.17037037037,0.272222222222,True,,,,,
A4_remove_hierarchical_pooling,1,126,11855,0.17037037037,0.83,True,,,,,
A2_remove_industry_prior,1,127,11856,0.096835016835,0.272222222222,True,,,,,
A4_remove_hierarchical_pooling,1,127,11856,0.096835016835,0.83,True,,,,,
A2_remove_industry_prior,1,128,11857,0.207407407407,0.221717171717,True,,,,,
A4_remove_hierarchical_pooling,1,128,11857,0.207407407407,0.83,True,,,,,
A2_remove_industry_prior,1,129,11858,0.146801346801,0.312626262626,True,,,,,
A4_remove_hierarchical_pooling,1,129,11858,0.146801346801,0.83,True,,,,,
A2_remove_industry_prior,1,130,11859,0.053232323232,0.191414141414,True,,,,,
A4_remove_hierarchical_pooling,1,130,11859,0.053232323232,0.45,True,,,,,
A2_remove_industry_prior,1,131,11860,0.175420875421,0.302525252525,True,,,,,
A4_remove_hierarchical_pooling,1,131,11860,0.175420875421,0.83,True,,,,,
A2_remove_industry_prior,1,132,11861,0.059898989899,0.211616161616,True,,,,,
A4_remove_hierarchical_pooling,1,132,11861,0.059898989899,0.45,True,,,,,
A2_remove_industry_prior,1,133,11862,0.153535353535,0.262121212121,True,,,,,
A4_remove_hierarchical_pooling,1,133,11862,0.153535353535,0.9,True,,,,,
A2_remove_industry_prior,1,134,11863,0.202188552189,0.302525252525,True,,,,,
A4_remove_hierarchical_pooling,1,134,11863,0.202188552189,0.82,True,,,,,
A2_remove_industry_prior,1,135,11864,0.186161616162,0.289696969697,True,,,,,
A4_remove_hierarchical_pooling,1,135,11864,0.186161616162,0.82,True,,,,,
A2_remove_industry_prior,1,136,11865,0.089393939394,0.221717171717,True,,,,,
A4_remove_hierarchical_pooling,1,136,11865,0.089393939394,0.45,True,,,,,
A2_remove_industry_prior,1,137,11866,0.027811447811,0.201515151515,True,,,,,
A4_remove_hierarchical_pooling,1,137,11866,0.027811447811,0.45,True,,,,,
A2_remove_industry_prior,1,138,11867,0.04898989899,0.25202020202,True,,,,,
A4_remove_hierarchical_pooling,1,138,11867,0.04898989899,0.83,True,,,,,
A2_remove_industry_prior,1,139,11868,0.10164983165,0.204848484848,True,,,,,
A4_remove_hierarchical_pooling,1,139,11868,0.10164983165,0.45,True,,,,,
A2_remove_industry_prior,1,140,11869,0.203872053872,0.272222222222,True,,,,,
A4_remove_hierarchical_pooling,1,140,11869,0.203872053872,0.83,True,,,,,
A2_remove_industry_prior,1,141,11870,0.278114478114,0.282323232323,True,,,,,
A4_remove_hierarchical_pooling,1,141,11870,0.278114478114,0.82,True,,,,,
A2_remove_industry_prior,1,142,11871,0.078417508418,0.214949494949,True,,,,,
A4_remove_hierarchical_pooling,1,142,11871,0.078417508418,0.45,True,,,,,
A2_remove_industry_prior,1,143,11872,0.097104377104,0.215656565657,True,,,,,
A4_remove_hierarchical_pooling,1,143,11872,0.097104377104,0.45,True,,,,,
A2_remove_industry_prior,1,144,11873,0.188720538721,0.302525252525,True,,,,,
A4_remove_hierarchical_pooling,1,144,11873,0.188720538721,0.83,True,,,,,
A2_remove_industry_prior,1,145,11874,0.102154882155,0.221717171717,True,,,,,
A4_remove_hierarchical_pooling,1,145,11874,0.102154882155,0.45,True,,,,,
A2_remove_industry_prior,1,146,11875,0.120572390572,0.241919191919,True,,,,,
A4_remove_hierarchical_pooling,1,146,11875,0.120572390572,0.83,True,,,,,
A2_remove_industry_prior,1,147,11876,0.071750841751,0.15101010101,True,,,,,
A4_remove_hierarchical_pooling,1,147,11876,0.071750841751,0.45,True,,,,,
A2_remove_industry_prior,1,148,11877,0.093468013468,0.363131313131,True,,,,,
A4_remove_hierarchical_pooling,1,148,11877,0.093468013468,0.83,True,,,,,
A2_remove_industry_prior,1,149,11878,0.100202020202,0.312626262626,True,,,,,
A4_remove_hierarchical_pooling,1,149,11878,0.100202020202,0.83,True,,,,,
A2_remove_industry_prior,1,150,11879,0.037205387205,0.262121212121,True,,,,,
A4_remove_hierarchical_pooling,1,150,11879,0.037205387205,0.45,True,,,,,
A2_remove_industry_prior,1,151,11880,0.067508417508,0.181313131313,True,,,,,
A4_remove_hierarchical_pooling,1,151,11880,0.067508417508,0.45,True,,,,,
A2_remove_industry_prior,1,152,11881,0.168518518519,0.231818181818,True,,,,,
A4_remove_hierarchical_pooling,1,152,11881,0.168518518519,0.83,True,,,,,
A2_remove_industry_prior,1,153,11882,0.236026936027,0.302525252525,True,,,,,
A4_remove_hierarchical_pooling,1,153,11882,0.236026936027,0.82,True,,,,,
A2_remove_industry_prior,1,154,11883,0.069191919192,0.221717171717,True,,,,,
A4_remove_hierarchical_pooling,1,154,11883,0.069191919192,0.45,True,,,,,
A2_remove_industry_prior,1,155,11884,0.086026936027,0.241919191919,True,,,,,
A4_remove_hierarchical_pooling,1,155,11884,0.086026936027,0.82,True,,,,,
A2_remove_industry_prior,1,156,11885,0.076296296296,0.214949494949,True,,,,,
A4_remove_hierarchical_pooling,1,156,11885,0.076296296296,0.45,True,,,,,
A2_remove_industry_prior,1,157,11886,0.132188552189,0.120707070707,False,,,,,
A4_remove_hierarchical_pooling,1,157,11886,0.132188552189,0.45,True,,,,,
A2_remove_industry_prior,1,158,11887,0.070875420875,0.12404040404,True,,,,,
A4_remove_hierarchical_pooling,1,158,11887,0.070875420875,0.45,True,,,,,
A2_remove_industry_prior,1,159,11888,0.082828282828,0.225050505051,True,,,,,
A4_remove_hierarchical_pooling,1,159,11888,0.082828282828,0.9,True,,,,,
A2_remove_industry_prior,1,160,11889,0.070875420875,0.266161616162,True,,,,,
A4_remove_hierarchical_pooling,1,160,11889,0.070875420875,0.82,True,,,,,
A2_remove_industry_prior,1,161,11890,0.161784511785,0.266161616162,True,,,,,
A4_remove_hierarchical_pooling,1,161,11890,0.161784511785,0.83,True,,,,,
A2_remove_industry_prior,1,162,11891,0.071043771044,0.221717171717,True,,,,,
A4_remove_hierarchical_pooling,1,162,11891,0.071043771044,0.45,True,,,,,
A2_remove_industry_prior,1,163,11892,0.215656565657,0.302525252525,True,,,,,
A4_remove_hierarchical_pooling,1,163,11892,0.215656565657,0.83,True,,,,,
A2_remove_industry_prior,1,164,11893,0.139898989899,0.245252525253,True,,,,,
A4_remove_hierarchical_pooling,1,164,11893,0.139898989899,0.45,True,,,,,
A2_remove_industry_prior,1,165,11894,0.093131313131,0.201515151515,True,,,,,
A4_remove_hierarchical_pooling,1,165,11894,0.093131313131,0.45,True,,,,,
A2_remove_industry_prior,1,166,11895,0.101178451178,0.282323232323,True,,,,,
A4_remove_hierarchical_pooling,1,166,11895,0.101178451178,0.82,True,,,,,
A2_remove_industry_prior,1,167,11896,0.141582491582,0.295757575758,True,,,,,
A4_remove_hierarchical_pooling,1,167,11896,0.141582491582,0.82,True,,,,,
A2_remove_industry_prior,1,168,11897,0.05202020202,0.231818181818,True,,,,,
A4_remove_hierarchical_pooling,1,168,11897,0.05202020202,0.45,True,,,,,
A2_remove_industry_prior,1,169,11898,0.187205387205,0.282323232323,True,,,,,
